p=2,,,,,,,
q=3,,,,w1,1.369961336,,
,,,,w2,-0.373131519,MSE,41.55679039
Date,Y,Y(t-1),Y(t-2),Predict_AR,Err,Predict_MA,Predict
10/1/2000,83.378,90.9515,99.6734,87.40875132,4.030751318,1.68175777,89.09050909
11/1/2000,88.2458,83.378,90.9515,80.28776493,-7.958035065,3.957507674,84.24527261
12/1/2000,102.6901,88.2458,83.378,89.78237428,-12.90772572,1.912314923,91.69468921
1/1/2001,109.3416,102.6901,88.2458,107.7541772,-1.587422798,-5.611669821,102.1425074
2/1/2001,97.3953,109.3416,102.6901,111.4768514,14.08155143,-7.484394526,103.9924569
3/1/2001,93.0564,97.3953,109.3416,92.62899802,-0.427401976,-0.137865694,92.49113233
4/1/2001,83.1332,93.0564,97.3953,91.14241385,8.009213848,4.022242219,95.16465607
5/1/2001,82.7827,83.1332,93.0564,79.16699387,-3.615706135,7.221121101,86.38811497
6/1/2001,90.6648,82.7827,83.1332,82.38948111,-8.275318895,1.322035246,83.71151635
7/1/2001,96.3283,90.6648,82.7827,93.31843595,-3.009864051,-1.293937061,92.02449889
8/1/2001,99.8132,96.3283,90.6648,98.13615203,-1.677047969,-4.966963027,93.169189
9/1/2001,88.5136,99.8132,96.3283,100.7970999,12.28349993,-4.320743638,96.4763563
10/1/2001,82.9006,88.5136,99.8132,84.01675879,1.116158791,2.532195971,86.54895476
11/1/2001,83.1461,82.9006,88.5136,80.54340272,-2.602697277,3.907536918,84.45093964
12/1/2001,93.2796,83.1461,82.9006,82.97411545,-10.30548455,3.598987149,86.57310259
1/1/2002,103.2604,93.2796,83.1461,96.76501486,-6.495385143,-3.930674347,92.83434051
2/1/2002,95.4593,103.2604,93.2796,106.6571967,11.19789671,-6.467855658,100.1893411
3/1/2002,93.51,95.4593,103.2604,92.24584027,-1.264159729,-1.867657662,90.37818261
4/1/2002,86.0517,93.51,95.4593,92.48621093,6.43451093,1.14611728,93.63232821
5/1/2002,85.5043,86.0517,93.51,82.99597357,-2.508326432,5.456082638,88.45205621
6/1/2002,93.4856,85.5043,86.0517,85.02898354,-8.456616461,0.887341589,85.91632513
7/1/2002,102.6936,93.4856,85.5043,96.16730814,-6.526291856,-1.510143988,94.65716416
8/1/2002,101.9121,102.6936,93.4856,105.8038375,3.891737534,-5.830411583,99.97342595
9/1/2002,93.5608,101.9121,102.6936,101.2974177,7.736617724,-3.697056927,97.6003608
10/1/2002,87.1293,93.5608,101.9121,90.1480619,3.018761901,1.700687801,91.8487497
11/1/2002,88.8047,87.1293,93.5608,84.45328882,-4.351411178,4.882372387,89.33566121
12/1/2002,101.0439,88.8047,87.1293,89.14831741,-11.89558259,2.134656149,91.28297356
1/1/2003,110.4292,101.0439,88.8047,105.2904036,-5.138796355,-4.409410623,100.880993
2/1/2003,104.0828,110.4292,101.0439,113.5810705,9.498270486,-7.128596708,106.4524738
3/1/2003,94.8015,104.0828,110.4292,101.3847966,6.583296619,-2.512036154,98.87276047
4/1/2003,85.3124,94.8015,104.0828,91.03781634,5.725416343,3.64759025,94.68540659
5/1/2003,85.7418,85.3124,94.8015,81.5012618,-4.240538205,7.268994483,88.77025628
6/1/2003,91.3695,85.7418,85.3124,85.63020549,-5.739294511,2.689391586,88.31959707
7/1/2003,102.5243,91.3695,85.7418,93.17971423,-9.344585775,-1.418138791,91.76157543
